"filename", "language", "pip requirements", "Python", "toml", "Shell Script", "Markdown", "Ini", "comment", "blank", "total"
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\product\views.py", "Python", 0, 124, 0, 0, 0, 0, 0, 32, 156
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\pytest.ini", "Ini", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\admin.py", "Python", 0, 3, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\migrations\0001_initial.py", "Python", 0, 22, 0, 0, 0, 0, 1, 7, 30
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\migrations\0002_alter_review_options_review_date_added_and_more.py", "Python", 0, 30, 0, 0, 0, 0, 1, 6, 37
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\models.py", "Python", 0, 25, 0, 0, 0, 0, 1, 11, 37
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\permissions.py", "Python", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\serializers.py", "Python", 0, 56, 0, 0, 0, 0, 0, 13, 69
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\tests\test_models.py", "Python", 0, 53, 0, 0, 0, 0, 1, 28, 82
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\tests\test_serializers.py", "Python", 0, 65, 0, 0, 0, 0, 0, 19, 84
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\tests\test_views.py", "Python", 0, 78, 0, 0, 0, 0, 0, 18, 96
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\urls.py", "Python", 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\reviews\views.py", "Python", 0, 53, 0, 0, 0, 0, 0, 12, 65
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\admin.py", "Python", 0, 32, 0, 0, 0, 0, 1, 3, 36
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\migrations\0001_initial.py", "Python", 0, 37, 0, 0, 0, 0, 1, 7, 45
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\migrations\0002_user_items.py", "Python", 0, 14, 0, 0, 0, 0, 1, 6, 21
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\migrations\0003_user_avatar.py", "Python", 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\models.py", "Python", 0, 15, 0, 0, 0, 0, 1, 4, 20
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\serializers.py", "Python", 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\tests.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\QuakStore\users\views.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\README.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 10, 50
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\build.sh", "Shell Script", 0, 0, 0, 4, 0, 0, 2, 3, 9
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\pyproject.toml", "toml", 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\Lenovo\OneDrive\Desktop\proojactos\django\QuakStore\django\requirements.txt", "pip requirements", 203, 0, 0, 0, 0, 0, 0, 0, 203
"Total", "-", 203, 2452, 11, 4, 40, 3, 58, 743, 3514
